,processo,proponente,contrato,nota_de_empenho,valor_empenhado,valor_pago,saldo_do_empenho,consumo_%,janeiro,fevereiro,marco,abril,maio,junho,julho,agosto,setembro,outubro,novembro,dezembro,tipo,prop_pk1,prop_pk2
159,,LUIS TIBE,WifiBrasil,68/2021,93000.0,0.0,104871.58870172393,0.0,,,,,,,,,,,,,Nota de Crédito,,
160,,MARA ROCHA,WifiBrasil,69/2021,170000.0,0.0,191700.75354078566,0.0,,,,,,,,,,,,,Nota de Crédito,,
161,,MARX BELTRAO,WifiBrasil,70/2021,93000.0,0.0,104871.58870172393,0.0,,,,,,,,,,,,,Nota de Crédito,,
162,,PERPETUA ALMEIDA,WifiBrasil,71/2021,192996.0,0.0,217632.2272373969,0.0,,,,,,,,,,,,,Nota de Crédito,,
163,,SERGIO PETECAO,WifiBrasil,72/2021,132614.0,0.0,149542.37488269265,0.0,,,,,,,,,,,,,Nota de Crédito,,
164,,ULDURICO JUNIOR,WifiBrasil,73/2021,141000.0,0.0,158998.86028971046,0.0,,,,,,,,,,,,,Nota de Crédito,,
165,,SORAYA THRONICKE,WifiBrasil,74/2021,155000.0,0.0,174785.98116953988,0.0,,,,,,,,,,,,,Nota de Crédito,,
166,,MCOM,WifiBrasil,75/2021,500000.0,0.0,563825.7457081932,0.0,,,,,,,,,,,,,Nota de Crédito,,
167,,CABO JUNIO AMARAL,WifiBrasil,76/2021,93000.0,0.0,104871.58870172393,0.0,,,,,,,,,,,,,Nota de Crédito,,
168,,LEUR LOMANTO,WifiBrasil,77/2021,28000.0,0.0,31574.241759658817,0.0,,,,,,,,,,,,,Nota de Crédito,,
169,,NAN,,,,,,,,,,,,,,,,,,,,,
170,,NAN,,,,,,,,,,,,,,,,,,,,,
171,,NAN,,,272445227.34000003,1935012.7544435707,283277309.14772165,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,
